Title,Director,Type,My Rating,Average Rating,Date Watched,Date Added,Language,Genre,Status,URL
Guru,Mani Ratnam,Movie,3,3.9,3/6/2012,3/6/2012,Hindi,Drama,Watched,
Adaptation.,Spike Jonze,Movie,3,3.9,3/6/2012,3/6/2012,English,Drama,Watched,
Bloody Sunday,Paul Greengrass,Movie,3,3.9,3/6/2012,3/6/2012,English,History,Watched,
Jodhaa Akbar,Ashutosh Gowariker,Movie,3,3.8,3/6/2012,3/6/2012,Hindi,Romance,Watched,
Shor in the City,"Raj Nidimoru, Krishna D.K.",Movie,3,3.7,3/6/2012,3/6/2012,Hindi,Thriller,Watched,
Unbreakable,M. Night Shyamalan,Movie,3,3.7,3/6/2012,3/6/2012,English,Sci-Fi,Watched,
Gosford Park,Robert Altman,Movie,3,3.7,3/6/2012,3/6/2012,English,Drama,Watched,
Dhobi Ghat,Kiran Rao,Movie,3,3.6,3/6/2012,3/6/2012,Hindi,Drama,Watched,
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Movie,4,4.4,3/6/2012,3/6/2012,English,Fantasy,Watched,
The Lord of the Rings: The Two Towers,Peter Jackson,Movie,4,4.4,3/6/2012,3/6/2012,English,Fantasy,Watched,
Amelie,Jean-Pierre Jeunet,Movie,4,4.2,3/6/2012,3/6/2012,French,Romance,Watched,
Munna Bhai M.B.B.S.,Rajkumar Hirani,Movie,4,4.1,3/6/2012,3/6/2012,Hindi,Comedy,Watched,
Black,Sanjay Leela Bhansali,Movie,4,4.1,3/6/2012,3/6/2012,Hindi,Drama,Watched,
Infernal Affairs,"Andrew Lau, Alan Mak",Movie,4,4.1,3/6/2012,3/6/2012,Chinese,Thriller,Watched,
Mulholland Dr.,David Lynch,Movie,4,4.0,3/6/2012,3/6/2012,English,Thriller,Watched,
No Man's Land,Danis Tanovic,Movie,4,4.0,3/6/2012,3/6/2012,Serbian,War,Watched,
"Crouching Tiger, Hidden Dragon",Ang Lee,Movie,4,4.0,3/6/2012,3/6/2012,Chinese,Fantasy,Watched,
Cast Away,Robert Zemeckis,Movie,4,3.9,3/6/2012,3/6/2012,English,Adventure,Watched,
"O Brother, Where Art Thou?","Joel Coen, Ethan Coen",Movie,4,3.9,3/6/2012,3/6/2012,English,Music,Watched,
Minority Report,Steven Spielberg,Movie,4,3.9,3/6/2012,3/6/2012,English,Sci-Fi,Watched,
Y tu mama tambien,Alfonso Cuaron,Movie,4,3.9,3/6/2012,3/6/2012,Spanish,Drama,Watched,
Billy Elliot,Stephen Daldry,Movie,4,3.9,3/6/2012,3/6/2012,English,Music,Watched,
Traffic,Steven Soderbergh,Movie,4,3.8,3/6/2012,3/6/2012,English,Crime,Watched,
